# Time base:   30.44
# Time unit:   d
# Global Land and Ocean Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
# Year,Value
t/a	∆𝜗/°C
1988.04235	0.560
1988.12432	0.440
1988.20628	0.530
1988.28962	0.460
1988.37295	0.410
1988.45628	0.400
1988.53962	0.370
1988.62432	0.340
1988.70765	0.340
1988.79098	0.310
1988.87432	0.200
1988.95765	0.340
1989.04247	0.170
1989.12329	0.300
1989.20411	0.350
1989.28767	0.290
1989.37123	0.280
1989.45479	0.260
1989.53836	0.320
1989.62329	0.320
1989.70685	0.310
1989.79041	0.290
1989.87397	0.230
1989.95753	0.400
1990.04247	0.360
1990.12329	0.410
1990.20411	0.760
1990.28767	0.530
1990.37123	0.470
1990.45479	0.420
1990.53836	0.390
1990.62329	0.390
1990.70685	0.330
1990.79041	0.430
1990.87397	0.480
1990.95753	0.420
1991.04247	0.430
1991.12329	0.460
1991.20411	0.360
1991.28767	0.520
1991.37123	0.410
1991.45479	0.490
1991.53836	0.420
1991.62329	0.370
1991.70685	0.350
1991.79041	0.290
1991.87397	0.300
1991.95753	0.280
1992.04235	0.460
1992.12432	0.430
1992.20628	0.440
1992.28962	0.300
1992.37295	0.320
1992.45628	0.270
1992.53962	0.110
1992.62432	0.110
1992.70765	0.050
1992.79098	0.050
1992.87432	0.040
1992.95765	0.250
1993.04247	0.360
1993.12329	0.380
1993.20411	0.410
1993.28767	0.310
1993.37123	0.350
1993.45479	0.330
1993.53836	0.270
1993.62329	0.220
1993.70685	0.180
1993.79041	0.220
1993.87397	0.070
1993.95753	0.270
1994.04247	0.270
1994.12329	0.080
1994.20411	0.380
1994.28767	0.360
1994.37123	0.410
1994.45479	0.400
1994.53836	0.310
1994.62329	0.300
1994.70685	0.330
1994.79041	0.420
1994.87397	0.450
1994.95753	0.420
1995.04247	0.560
1995.12329	0.730
1995.20411	0.500
1995.28767	0.450
1995.37123	0.370
1995.45479	0.460
1995.53836	0.420
1995.62329	0.500
1995.70685	0.400
1995.79041	0.440
1995.87397	0.450
1995.95753	0.330
1996.04235	0.250
1996.12432	0.460
1996.20628	0.350
1996.28962	0.270
1996.37295	0.390
1996.45628	0.350
1996.53962	0.330
1996.62432	0.350
1996.70765	0.250
1996.79098	0.210
1996.87432	0.290
1996.95765	0.390
1997.04247	0.340
1997.12329	0.440
1997.20411	0.500
1997.28767	0.420
1997.37123	0.420
1997.45479	0.540
1997.53836	0.500
1997.62329	0.550
1997.70685	0.610
1997.79041	0.640
1997.87397	0.590
1997.95753	0.630
1998.04247	0.600
1998.12329	0.870
1998.20411	0.680
1998.28767	0.770
1998.37123	0.700
1998.45479	0.730
1998.53836	0.740
1998.62329	0.710
1998.70685	0.530
1998.79041	0.490
1998.87397	0.420
1998.95753	0.600
1999.04247	0.510
1999.12329	0.700
1999.20411	0.400
1999.28767	0.470
1999.37123	0.400
1999.45479	0.420
1999.53836	0.400
1999.62329	0.360
1999.70685	0.390
1999.79041	0.350
1999.87397	0.350
1999.95753	0.530
2000.04235	0.340
2000.12432	0.560
2000.20628	0.550
2000.28962	0.640
2000.37295	0.430
2000.45628	0.390
2000.53962	0.400
2000.62432	0.460
2000.70765	0.420
2000.79098	0.320
2000.87432	0.270
2000.95765	0.330
2001.04247	0.470
2001.12329	0.420
2001.20411	0.650
2001.28767	0.590
2001.37123	0.620
2001.45479	0.550
2001.53836	0.600
2001.62329	0.610
2001.70685	0.540
2001.79041	0.520
2001.87397	0.710
2001.95753	0.570
2002.04247	0.710
2002.12329	0.790
2002.20411	0.820
2002.28767	0.580
2002.37123	0.590
2002.45479	0.600
2002.53836	0.630
2002.62329	0.570
2002.70685	0.590
2002.79041	0.490
2002.87397	0.600
2002.95753	0.490
2003.04247	0.720
2003.12329	0.590
2003.20411	0.610
2003.28767	0.580
2003.37123	0.630
2003.45479	0.560
2003.53836	0.600
2003.62329	0.660
2003.70685	0.650
2003.79041	0.740
2003.87397	0.570
2003.95753	0.770
2004.04235	0.610
2004.12432	0.740
2004.20628	0.700
2004.28962	0.600
2004.37295	0.450
2004.45628	0.480
2004.53962	0.470
2004.62432	0.520
2004.70765	0.560
2004.79098	0.600
2004.87432	0.760
2004.95765	0.510
2005.04247	0.650
2005.12329	0.560
2005.20411	0.740
2005.28767	0.720
2005.37123	0.660
2005.45479	0.670
2005.53836	0.660
2005.62329	0.630
2005.70685	0.680
2005.79041	0.680
2005.87397	0.730
2005.95753	0.630
2006.04247	0.510
2006.12329	0.700
2006.20411	0.640
2006.28767	0.520
2006.37123	0.550
2006.45479	0.660
2006.53836	0.620
2006.62329	0.660
2006.70685	0.640
2006.79041	0.680
2006.87397	0.640
2006.95753	0.800
2007.04247	0.920
2007.12329	0.690
2007.20411	0.670
2007.28767	0.730
2007.37123	0.610
2007.45479	0.550
2007.53836	0.560
2007.62329	0.560
2007.70685	0.580
2007.79041	0.560
2007.87397	0.530
2007.95753	0.470
2008.04235	0.270
2008.12432	0.370
2008.20628	0.740
2008.28962	0.490
2008.37295	0.520
2008.45628	0.540
2008.53962	0.590
2008.62432	0.570
2008.70765	0.550
2008.79098	0.670
2008.87432	0.670
2008.95765	0.540
2009.04247	0.600
2009.12329	0.550
2009.20411	0.570
2009.28767	0.630
2009.37123	0.590
2009.45479	0.670
2009.53836	0.670
2009.62329	0.720
2009.70685	0.730
2009.79041	0.640
2009.87397	0.710
2009.95753	0.650
2010.04247	0.740
2010.12329	0.800
2010.20411	0.880
2010.28767	0.860
2010.37123	0.770
2010.45479	0.750
2010.53836	0.730
2010.62329	0.700
2010.70685	0.620
2010.79041	0.630
2010.87397	0.750
2010.95753	0.460
2011.04247	0.470
2011.12329	0.450
2011.20411	0.600
2011.28767	0.630
2011.37123	0.550
2011.45479	0.650
2011.53836	0.650
2011.62329	0.650
2011.70685	0.600
2011.79041	0.610
2011.87397	0.500
2011.95753	0.550
2012.04235	0.450
2012.12432	0.450
2012.20628	0.520
2012.28962	0.730
2012.37295	0.740
2012.45628	0.720
2012.53962	0.700
2012.62432	0.700
2012.70765	0.740
2012.79098	0.700
2012.87432	0.710
2012.95765	0.480
2013.04247	0.620
2013.12329	0.660
2013.20411	0.670
2013.28767	0.590
2013.37123	0.690
2013.45479	0.690
2013.53836	0.660
2013.62329	0.690
2013.70685	0.680
2013.79041	0.660
2013.87397	0.810
2013.95753	0.670
2014.04247	0.700
2014.12329	0.490
2014.20411	0.770
2014.28767	0.810
2014.37123	0.810
2014.45479	0.770
2014.53836	0.710
2014.62329	0.830
2014.70685	0.790
2014.79041	0.760
2014.87397	0.650
2014.95753	0.820
2015.04247	0.830
2015.12329	0.870
2015.20411	0.920
2015.28767	0.810
2015.37123	0.900
2015.45479	0.910
2015.53836	0.850
2015.62329	0.910
2015.70685	0.950
2015.79041	1.030
2015.87397	1.000
2015.95753	1.160
2016.04235	1.130
2016.12432	1.270
2016.20628	1.310
2016.28962	1.120
2016.37295	0.950
2016.45628	0.930
2016.53962	0.920
2016.62432	0.980
2016.70765	0.940
2016.79098	0.790
2016.87432	0.780
2016.95765	0.830
2017.04247	0.980
2017.12329	1.020
2017.20411	1.090
2017.28767	0.920
2017.37123	0.880
2017.45479	0.840
2017.53836	0.900
2017.62329	0.920
2017.70685	0.860
2017.79041	0.810
2017.87397	0.800
2017.95753	0.870
2018.04247	0.750
2018.12329	0.770
2018.20411	0.890
2018.28767	0.850
2018.37123	0.820
2018.45479	0.780
2018.53836	0.820
2018.62329	0.800
2018.70685	0.830
2018.79041	0.920
2018.87397	0.780
2018.95753	0.880
2019.04247	0.940
2019.12329	0.850
2019.20411	1.100
2019.28767	0.970
2019.37123	0.870
2019.45479	0.950
2019.53836	0.920
2019.62329	0.920
2019.70685	0.940
2019.79041	0.950
2019.87397	0.920
2019.95753	1.050
2020.04235	1.140
2020.12432	1.170
2020.20628	1.180
2020.28962	1.050
2020.37295	0.950
2020.45628	0.920
2020.53962	0.920
2020.62432	0.940
2020.70765	0.940
2020.79098	0.830
2020.87432	0.950
2020.95765	0.780
2021.04247	0.780
2021.12329	0.640
2021.20411	0.850
2021.28767	0.790
2021.37123	0.810
2021.45479	0.890
2021.53836	0.930
